,track_id,track_name,artist_name,acousticness,valence,danceability,kmeans
538,54h8xHewdRPnYzmbEHBhOO,I’ll Make It Up To You,Imagine Dragons,0.00994,0.163,0.512,2
544,5V7mTIcXVU9k2JNu0mE6vy,Fall for You (Acoustic),Secondhand Serenade,0.65,0.378,0.433,2
546,2ZiNCGDMapQzMtnPRVOKZI,Di Makatulog,SUD,0.257,0.262,0.505,2
575,2nLtzopw4rPReszdYBJU6h,Numb,Linkin Park,0.0046,0.243,0.496,2
577,1yFiaFeSLpw4nDYTeErRZ6,Leave Out All The Rest,Linkin Park,0.213,0.18,0.514,2
597,5JHNg1hxZFT7TDEphhM4wj,Waiting for the End,Linkin Park,0.0415,0.323,0.487,2
600,2zjEMw9kkROEbAxIXk6Ivp,Shadow of the Day,Linkin Park,0.00479,0.0641,0.534,2
606,69ZEgPX0hxWXJIqkTlYz41,Iridescent,Linkin Park,0.198,0.216,0.484,2
608,46ixegtxjERQMCutmp09Sa,"Two Less Lonely People in the World (Official Movie Theme Song Of ""Kita Kita"")",KZ Tandingan,0.774,0.201,0.37,2
624,0I4W2KgA6nBaphEf6g8DLE,Walk Away,LANY,0.403,0.233,0.344,2
631,7vGuf3Y35N4wmASOKLUVVU,Silence,Marshmello,0.256,0.286,0.52,2
633,31MkGwj0SWgZaTvEt5Hgxv,What About Us,P!nk,0.0252,0.187,0.386,2
636,3FvCy00Wz75HmhlXPMmnOx,Superman (It's Not Easy),Five For Fighting,0.305,0.176,0.523,2
638,6VCrPY3rpckaEU8KXBITVJ,"Balisong (Theme Song of the Movie ""100 Tula Para Kay Stella"")",The Juans,0.327,0.228,0.337,2
642,2do8RHXBj4CxG3n08KHBWZ,"241 (From the movie ""100 Tula Para Kay Stella"")",Janine Teñoso,0.846,0.17,0.345,2
649,65MOTX6uSFAnqXl7dlAuId,Tell Me You Love Me,Demi Lovato,0.0258,0.256,0.419,2
661,4aUf4lzQ1di5JajZ4a9FuI,"Torete - From ""Love You to the Stars And Back""",Moira Dela Torre,0.359,0.218,0.286,2
669,1j4kHkkpqZRBwE0A4CN4Yv,Dusk Till Dawn - Radio Edit,ZAYN,0.101,0.0967,0.258,2
673,64GRDrL1efgXclrhVCeuA0,Lay Me Down,Sam Smith,0.919,0.326,0.468,2
674,4d75stQ2jRfq8lzaqhFFKs,Latch - Acoustic,Sam Smith,0.981,0.239,0.372,2
677,2NkbRmygVirMQFCjSkyY7Q,Too Much To Ask,Niall Horan,0.366,0.222,0.508,2
684,7iV733e1KacKrFRaBNxVEf,Intro: Serendipity,BTS,0.523,0.282,0.476,2
689,7KXEhfjwdxHVra8VcT2QHH,Skit: Billboard Music Awards Speech,BTS,0.38,0.325,0.252,2
706,1ipE3bBLWeLkIvxWUaxpSu,Beautiful Trauma,P!nk,0.0868,0.234,0.412,2
708,7pstxLUhvsJC3M4TxHe2aI,Carry You Home,Tiësto,0.0308,0.334,0.518,2
710,0D8ZpOXVjapLXrjz5VfZSD,Pray,Sam Smith,0.292,0.153,0.381,2
715,1WtpRQUvbyZAoEchymInA9,"Sundo - From ""The Good Son""",Moira Dela Torre,0.404,0.215,0.436,2
716,7ejps6ztLxyZD74tHrTdEj,Too Good At Goodbyes - Acoustic,Sam Smith,0.853,0.26,0.434,2
722,5uu28fUesZMl89lf9CLrgN,Feels Great (feat. Fetty Wap & CVBZ),Cheat Codes,0.0454,0.296,0.522,2
730,2UxfcZJCphbEkfbZ6nLiDx,Kids in Love,Kygo,0.435,0.236,0.497,2
741,7FzhZ7C3NhM1UyqSHV9ytY,Burning,Sam Smith,0.874,0.353,0.493,2
750,6TwcRSQgztJFw8tQDrs35D,The Thrill Of It All,Sam Smith,0.81,0.103,0.496,2
752,3zesxb7sOGbeSwUrzLUP0f,Palace,Sam Smith,0.74,0.268,0.345,2
753,5qOWH742APK9OAIhQBflvV,Nothing Left For You,Sam Smith,0.616,0.212,0.499,2
754,6AUuRg513AfT50d52O60fS,One Day At A Time,Sam Smith,0.775,0.337,0.502,2
755,1Bxzw8ag71snOU9IbhXVD6,Kids in Love (feat. The Night Game),Kygo,0.399,0.301,0.499,2
760,2v5VIWMjZxeiG52KckiXxS,Ikaw Lamang,Silent Sanctuary,0.573,0.316,0.394,2
764,5T6bJp3XgwT0IaCfKMxmAu,Perfect - Acoustic,Ed Sheeran,0.459,0.394,0.432,2
778,0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,Mariah Carey,0.164,0.35,0.336,2
779,68m6iwhKElLTBaGRG1LLwE,Get It Right (feat. MØ),Diplo,0.108,0.261,0.456,2
784,0OlnLZY4cmQzT6ZGttvWBM,So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix,0.435,0.13,0.526,2
804,2ML3kszWXh7S3olvQhxrzk,Champion - Remix,Fall Out Boy,0.0513,0.186,0.527,2
805,7Hz6LLOVxrojLPIHJJ1S0E,Have Yourself A Merry Little Christmas,Sam Smith,0.954,0.317,0.426,2
812,0lLdorYw7lVrJydTINhWdI,It's Beginning to Look a Lot like Christmas,Michael Bublé,0.908,0.363,0.339,2
813,6h7bFD49c3lN9uLDxhy2RW,Sana Ngayong Pasko,Lea Salonga,0.697,0.0987,0.449,2
814,3WUEs51GpcvlgU7lehLgLh,Kathang Isip,Ben&Ben,0.776,0.295,0.491,2
815,5E5MqaS6eOsbaJibl3YeMZ,Homesick,Dua Lipa,0.948,0.399,0.426,2
819,05W4TSNqPEXtKdejLVRQrm,Thunder / Young Dumb & Broke (with Khalid) - Medley,Imagine Dragons,0.113,0.266,0.513,2
825,7d4pHMrw88IiRWYGD7bNOb,Sa Araw Ng Pasko,ABS-CBN Music All Star,0.208,0.24,0.518,2
829,0NbnppAuYICbnu6opbe18F,Kwento Ng Pasko,ABS-CBN Music All Star,0.0805,0.289,0.522,2
831,4fzyvSu73BhGvi96p2zwjL,Christmas Lights,Coldplay,0.131,0.237,0.315,2
