,track_id,track_name,artist_name,instrumentalness,liveness,loudness,kmeans
626,09KlDlkOYuC5x6hOaM7vaP,Angel,Fifth Harmony,0.0,0.351,-6.298,1
634,22BH6K8RlpwNzIINvWS4Jj,(Not) The One,Bebe Rexha,0.0,0.272,-5.187,1
637,7nZmah2llfvLDiUjm0kiyz,Friends (with BloodPop®),Justin Bieber,0.0,0.306,-5.35,1
645,5DBXQN8Jgg8ZypnbHJzaBr,Future Me,Echosmith,2.42e-05,0.613,-4.624,1
650,2771LMNxwf62FTAdpJMQfM,Bodak Yellow,Cardi B,0.0,0.346,-5.792,1
667,7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores,XXXTENTACION,4.13e-06,0.297,-9.144,1
676,7Lgpic8BsBJR4jFrr9abbz,I Believe I'm Fine,Robin Schulz,0.0,0.328,-6.165,1
682,2tdq0CeAGSfhI2l4Gwkvgx,Best Of Me,BTS,0.0,0.396,-4.388,1
683,3ryjLm3oupIjJFGc39naNi,dimple,BTS,0.0,0.287,-4.694,1
685,0ffweDHrg4bZqdG4IfGYuo,Pied Piper,BTS,0.0,0.268,-4.942,1
689,7KXEhfjwdxHVra8VcT2QHH,Skit: Billboard Music Awards Speech,BTS,0.000203,0.66,-15.389,1
694,2FpJL9TwVqUgsRdmMA4PED,Wala Nang Kulang Pa,Moira Dela Torre,0.0,0.33,-6.02,1
699,3yWsWi2PAo9s6elIhnywIS,One Foot,WALK THE MOON,1.56e-06,0.792,-4.87,1
705,7cQMJ0wDqVS5iM0JIvP6Ay,The Last Of The Real Ones,Fall Out Boy,0.0,0.257,-5.224,1
706,1ipE3bBLWeLkIvxWUaxpSu,Beautiful Trauma,P!nk,2.55e-06,0.4,-6.39,1
721,5IF6IBPqbclVR7SQKmCIyA,Just Like You,Louis Tomlinson,0.0,0.384,-5.914,1
724,4tERsdVCLtLtrGdFBf9DGC,New,Daya,2.47e-05,0.364,-4.331,1
730,2UxfcZJCphbEkfbZ6nLiDx,Kids in Love,Kygo,1.25e-06,0.389,-4.509,1
735,5yFSF6qQA1rcLsQRnBsZgb,All Falls Down (feat. Juliander),Alan Walker,0.0,0.361,-4.407,1
741,7FzhZ7C3NhM1UyqSHV9ytY,Burning,Sam Smith,0.0,0.285,-9.301,1
743,0tDfp0vFR95Gg6Mrhza3lX,Call It What You Want,Taylor Swift,0.000177,0.329,-9.894,1
746,01uk7IzZyFNfQTDBXxx6NB,One Last Song,Sam Smith,0.0,0.321,-6.43,1
761,7zLGHiDWd9T1Rxw4PQCb13,Walk On Water (feat. Beyoncé),Eminem,0.0,0.623,-4.816,1
766,0RGUIOZtmOXTWOy5EjvQbP,Paris in the Rain,Lauv,7.88e-06,0.394,-9.419,1
769,42tFTth2jcF7iSo0RBjfJF,Peek-A-Boo,Red Velvet,0.00257,0.272,-3.612,1
780,6QcIPGlQpohjUNPpIv1OsB,Both of Us,Yellow Claw,0.00239,0.285,-3.089,1
793,3YU6vJbjYUG0tiJyXf9x5V,Him & I,G-Eazy,0.0,0.308,-6.343,1
795,1ADjWm8QNhgNV8yCNNgQ1T,Santa Tell Me,Ariana Grande,0.0,0.295,-7.337,1
803,5k38wzpLb15YgncyWdTZE4,Him & I (with Halsey),G-Eazy,0.0,0.308,-6.343,1
805,7Hz6LLOVxrojLPIHJJ1S0E,Have Yourself A Merry Little Christmas,Sam Smith,0.0,0.317,-9.429,1
810,2FRnf9qhLbvw8fu4IBXx78,Last Christmas,Wham!,2.48e-06,0.355,-12.472,1
812,0lLdorYw7lVrJydTINhWdI,It's Beginning to Look a Lot like Christmas,Michael Bublé,7.47e-06,0.341,-11.714,1
819,05W4TSNqPEXtKdejLVRQrm,Thunder / Young Dumb & Broke (with Khalid) - Medley,Imagine Dragons,0.000144,0.395,-5.499,1
823,6PJ2glrMHEZKqc3kqIB7Vz,Star Ng Pasko,Aiza Seguerra,0.0,0.347,-5.885,1
826,3T7dNA7O8c3Axj5WyDNcH3,Rockin' Around The Christmas Tree - Single Version,Brenda Lee,0.0,0.45,-12.155,1
843,3MhbB5T6ZickGjX7Plty7x,Frosty The Snowman,Ella Fitzgerald,0.0,0.281,-7.57,1
844,3lkYS3iMpWMVpaJ0yJAFrJ,I Saw Mommy Kissing Santa Claus,The Jackson 5,1.51e-05,0.792,-11.652,1
848,0gBc4Ksp2LSHbGTa1jBKTO,Angels We Have Heard on High,Acapellago,5.26e-05,0.337,-13.755,1
851,0E8eAVCGmOk78xebmDEBfF,Feliz Navidad,Glee Cast,0.0,0.508,-4.671,1
853,0KaUTLgQTHW0hIRi9vuPEF,Christmas Bonus,Aegis,2.49e-05,0.388,-9.803,1
854,0ErjxyZ4qHQVs5umCBIClk,Sleigh Ride,Pentatonix,0.0,0.271,-8.943,1
863,5lyikKk6KFWfWCuDDir9Fx,Rockin' Around The Christmas Tree,Miley Cyrus,0.0,0.27,-7.579,1
866,75FDPwaULRdYDn4StFN2rT,Bartier Cardi (feat. 21 Savage),Cardi B,0.000823,0.36,-7.513,1
870,4ohMD1wzaaOC2I6jSGFMeP,Mi Gente - Alesso Remix,J Balvin,0.0653,0.392,-2.596,1
879,1YLSTCHPgTtXjG06sljS85,Know Love,DVBBS,0.0,0.311,-3.536,1
885,3b0EOvScbZUc0qJx0E1L2z,I Want You Back,The Jackson 5,9.68e-05,0.366,-13.534,1
887,4vkVvmjIiQibQ6zJnC1Q9z,Sucker for You,Matt Terry,0.0,0.337,-4.385,1
913,1eQuRtkMEPhf2DGzpBVTE6,Ode To My Family,The Cranberries,1.46e-06,0.344,-10.11,1
914,0md12GKBGH8ZuLG2fTfGUz,Dreams,The Cranberries,0.00385,0.421,-13.091,1
915,6xy6jNeNTYwjnKTDzMyHw2,Zombie,The Cranberries,0.00595,0.367,-8.994,1
919,5zZw8cn8WKoplKaeMPSvwi,The Good Side,Troye Sivan,0.00247,0.354,-16.509,1
921,2XW4DbS6NddZxRPm5rMCeY,God's Plan,Drake,8.67e-05,0.558,-9.441,1
932,0UBLhedidy1DjSF4ncF5zL,All Falls Down,Alan Walker,0.0,0.361,-4.407,1
935,6tHWl8ows5JOZq9Yfaqn3M,Mine,Bazzi,3.1e-06,0.291,-3.839,1
944,3IkWmgGsXbsafrunwPojXO,From Now On,Hugh Jackman,0.00895,0.585,-10.383,1
948,652CegYwXhnFnVz3SgGzTO,Ilaw Sa Daan,IV Of Spades,0.0,0.388,-6.678,1
968,4LmAnpjlhWTahvRkYR8xJa,X (with 2 Chainz & Saudi),ScHoolboy Q,0.0,0.268,-8.406,1
980,6RnkFd8Fqqgk1Uni8RgqCQ,Like I Do,David Guetta,0.0145,0.37,-3.719,1
982,7rOqvrGASV9CZh20uvGXpq,Take Her to the Moon,Moira Dela Torre,0.0,0.302,-7.772,1
983,79GsUxLyzxgnN4I1E11dtO,Make Me Feel,Janelle Monáe,0.0,0.334,-7.399,1
986,3xngVLz4NYEshyX3aRRXgf,Hope World,j-hope,0.0,0.595,-4.456,1
989,464jQiBOieEQBuo48qnPJl,Base Line,j-hope,0.0111,0.401,-5.32,1
995,6pz4tdLoIDJdnpXnisSDCK,Halaga,Parokya Ni Edgar,1.39e-06,0.274,-9.197,1
1003,4foROzWuWa3fED6jc6BjK1,Your Side Of The Bed,Loote,0.0,0.284,-4.974,1
1004,4isDU5tDNqFLQ5xQ9NgPmz,"Till My Heartaches End - From ""The Significant Other""",KZ Tandingan,0.0,0.265,-6.386,1
1010,3pIigjAWkzwAonXpJ1fmSF,Everybody Hates Me,The Chainsmokers,0.0,0.368,-6.612,1
1011,63SevszngYpZOwf63o61K4,Nevermind,Dennis Lloyd,1.29e-05,0.409,-8.339,1
1016,7wvYmO5QscgIDDT0eNwbYX,Lost In Japan,Shawn Mendes,0.0,0.348,-6.908,1
1019,43cFjTTCD9Cni4aSL0sORz,Playinwitme (feat. Kehlani),KYLE,0.0,0.278,-5.772,1
1022,1gm616Plq4ScqNi7TVkZ5N,Call Out My Name,The Weeknd,0.0,0.35,-4.929,1
1033,1OqDvYVDhJyFZny7XlfIyZ,Let Go,BTS,0.0,0.289,-3.53,1
1034,3zIG0WuI5RoJsFYnErkFDU,Don't Leave Me,BTS,0.0,0.312,-4.622,1
1038,58q2HKrzhC3ozto2nDdN4z,I Like It,Cardi B,0.0,0.372,-3.998,1
1042,2PhG74FocRobLC8pP9cIBI,What is Love?,TWICE,0.0,0.266,-1.578,1
1049,5SxkdsY1ufZzoq9iXceLw9,no tears left to cry,Ariana Grande,5.65e-06,0.274,-5.482,1
1054,2GGGm4MLQynB3I4E4ycIYC,Drink About,Seeb,0.0,0.257,-2.936,1
1058,5B03nSG8pLE48jh7kmasuL,Levels - Radio Edit,Avicii,0.828,0.294,-5.961,1
1067,2bNrvWD9d5Zn9tS8XvcaMk,I Could Be The One (Avicii Vs. Nicky Romero) - Nicktim / Radio Edit,Avicii,6.67e-05,0.316,-3.782,1
1069,4kOlyvj9WiPrI4zpmzKAeA,Change Your Mind,ELI,0.0,0.405,-9.075,1
1071,6L2TOTO0JjlVuKBnIuWcVY,Bad,Christopher,0.0,0.505,-7.252,1
1087,1hSOt9IeshMkuKP9ri4hOf,Bloom,Troye Sivan,0.0,0.392,-5.196,1
1089,0b9oOr2ZgvyQu88wzixux9,This Is America,Childish Gambino,0.0,0.354,-6.159,1
