track_name,artist_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,0.652,0.795,11.0,-5.192,0.174,0.156,0.0,0.123,0.788,135.018
Some Kind Of Drug (feat. Marc E. Bassy),G-Eazy,0.634,0.525,0.0,-8.968,0.47,0.0705,0.0,0.0729,0.49,130.271
When You Say Nothing At All,Boyzone,0.58,0.44,7.0,-11.152,0.0233,0.119,2.37e-06,0.0623,0.324,86.999
Solo Dance,Martin Jensen,0.744,0.836,6.0,-2.396,0.0507,0.0435,0.0,0.194,0.36,114.965
Take A Bow,Rihanna,0.708,0.47,9.0,-7.59,0.0659,0.248,0.0,0.0852,0.536,82.007
Para Sa Akin,Sitti,0.579,0.408,3.0,-11.299,0.0419,0.916,2.55e-05,0.117,0.465,126.106
Words,Daya,0.746,0.816,7.0,-3.793,0.0645,0.163,0.0,0.0948,0.579,125.008
All I Ask,Adele,0.587,0.283,4.0,-5.473,0.0279,0.882,0.0,0.149,0.343,141.961
Set You Free,MYMP,0.642,0.281,4.0,-11.478,0.0346,0.821,0.0,0.123,0.101,60.009
I Was Made For Loving You,Tori Kelly,0.374,0.344,2.0,-11.94,0.0304,0.355,0.0,0.0966,0.216,106.415
A Thousand Miles,Vanessa Carlton,0.559,0.845,11.0,-3.871,0.0379,0.222,0.0,0.164,0.304,94.915
Once In a While,Timeflies,0.786,0.687,0.0,-5.914,0.141,0.00758,0.0,0.619,0.345,105.021
O Pag-ibig,Bailey May,0.609,0.516,0.0,-6.94,0.0277,0.0386,0.0,0.234,0.61,170.017
Over And Over Again,Nathan Sykes,0.463,0.245,8.0,-9.438,0.0387,0.957,0.0,0.089,0.395,129.415
Not Going Home (feat. Gia Koka),DVBBS,0.713,0.733,6.0,-6.431,0.152,0.0933,2.23e-05,0.237,0.502,108.992
Inside Out,The Chainsmokers,0.545,0.65,7.0,-5.853,0.0315,0.00308,7.98e-06,0.122,0.121,143.937
Hands To Myself,Selena Gomez,0.811,0.499,5.0,-7.161,0.118,0.0147,2.44e-06,0.342,0.466,111.016
Too Good,Drake,0.804,0.648,7.0,-7.805,0.117,0.0573,3.49e-05,0.102,0.392,117.983
Please Don't Go,Joel Adams,0.513,0.768,4.0,-4.868,0.0587,0.0118,1.94e-05,0.294,0.235,84.264
You And Me,Lifehouse,0.461,0.446,7.0,-7.703,0.0267,0.1,0.0,0.169,0.375,139.868
Never Forget You,Zara Larsson,0.583,0.732,11.0,-5.728,0.0457,0.00312,9.86e-06,0.269,0.276,145.992
